Price,Preço
Ticker,BRFS3.SA
Date,
2020-01-02,33.234580993652344
2020-01-03,33.290157318115234
2020-01-06,32.94743728637695
2020-01-07,32.56766891479492
2020-01-08,33.81813430786133
2020-01-09,34.123802185058594
2020-01-10,33.66066360473633
2020-01-13,33.99412536621094
2020-01-14,33.85517883300781
2020-01-15,33.78108215332031
2020-01-16,33.22532272338867
2020-01-17,33.114166259765625
2020-01-20,33.39204406738281
2020-01-21,32.8177604675293
2020-01-22,32.975223541259766
2020-01-23,32.271263122558594
2020-01-24,31.33572769165039
2020-01-27,29.436870574951172
2020-01-28,29.047840118408203
2020-01-29,28.807008743286133
2020-01-30,28.343873977661133
2020-01-31,28.29755973815918
2020-02-03,29.242355346679688
2020-02-04,29.80738067626953
2020-02-05,29.70549201965332
2020-02-06,29.501712799072266
2020-02-07,29.214567184448242
2020-02-10,28.566179275512695
2020-02-11,28.621755599975586
2020-02-12,28.94594955444336
2020-02-13,29.020050048828125
2020-02-14,28.621755599975586
2020-02-17,28.71438217163086
2020-02-18,28.575441360473633
2020-02-19,28.862585067749023
2020-02-20,28.41797637939453
2020-02-21,28.121570587158203
2020-02-26,26.352392196655273
2020-02-27,25.50022315979004
2020-02-28,25.04635238647461
2020-03-02,26.12082290649414
2020-03-03,24.221969604492188
2020-03-04,24.694368362426758
2020-03-05,23.712520599365234
2020-03-06,21.406108856201172
2020-03-09,18.525407791137695
2020-03-10,19.303476333618164
2020-03-11,17.136001586914062
2020-03-12,14.125622749328613
2020-03-13,15.274198532104492
2020-03-16,12.273082733154297
2020-03-17,13.199353218078613
2020-03-18,12.05077838897705
2020-03-19,13.801427841186523
2020-03-20,13.106725692749023
2020-03-23,12.995574951171875
2020-03-24,13.931107521057129
2020-03-25,14.736961364746094
2020-03-26,14.7925386428833
2020-03-27,13.773640632629395
2020-03-30,13.440183639526367
2020-03-31,13.97741985321045
2020-04-01,14.459080696105957
2020-04-02,15.051894187927246
2020-04-03,14.134885787963867
2020-04-06,16.3764591217041
2020-04-07,16.237518310546875
2020-04-08,16.11710548400879
2020-04-09,16.709917068481445
2020-04-13,16.506139755249023
2020-04-14,17.46946144104004
2020-04-15,17.645450592041016
2020-04-16,17.84922981262207
2020-04-17,17.645450592041016
2020-04-20,17.525035858154297
2020-04-22,18.01595687866211
2020-04-23,18.071535110473633
2020-04-24,17.182313919067383
2020-04-27,19.044116973876953
2020-04-28,18.81255340576172
2020-04-29,18.877389907836914
2020-04-30,17.96038246154785
2020-05-04,17.04337501525879
2020-05-05,16.9877986907959
2020-05-06,16.960010528564453
2020-05-07,17.05263900756836
2020-05-08,17.358308792114258
2020-05-11,19.31273651123047
2020-05-12,18.868127822875977
2020-05-13,21.1652774810791
2020-05-14,21.35979652404785
2020-05-15,20.989288330078125
2020-05-18,20.13711929321289
2020-05-19,20.377948760986328
2020-05-20,20.813295364379883
2020-05-21,20.19269371032715
2020-05-22,20.155641555786133
2020-05-25,20.146381378173828
2020-05-26,20.841083526611328
2020-05-27,21.535785675048828
2020-05-28,21.498737335205078
2020-05-29,21.42463493347168
2020-06-01,21.924819946289062
2020-06-02,21.6284122467041
2020-06-03,20.980024337768555
2020-06-04,21.721040725708008
2020-06-05,21.02634048461914
2020-06-08,21.535785675048828
2020-06-09,21.36905860900879
2020-06-10,20.859607696533203
2020-06-12,19.970388412475586
2020-06-15,19.636932373046875
